year,C_active,C_slow,C_passive,SOC_total,N_mineralized,N_immobilized,N_net_mineralized,N_synthetic,N_available,yield_tha,yield_fraction,water_stress,carrying_capacity_fraction
0.0,1.28,12.16,18.56,32.0,91.46997333333334,34.77912915430493,56.69084417902841,62.3,68.19496429846564,3.8230094809687545,0.9104362112456091,0.98,0.9104362112456091
1.0,1.2420922971313666,12.134760198087578,18.56000416,31.936856655218943,89.82835295397093,34.55335133156747,55.275001622403465,62.3,67.41625089232191,3.7975829045415317,0.9043809618347494,0.9799455995798809,0.9043809618347494
2.0,1.2141369040530519,12.103746892619798,18.559980262931692,31.87786405960454,88.5794379591032,34.379834597524926,54.199603361578276,62.3,66.82478184886806,3.7780376945444325,0.8997263390758098,0.9798947751898132,0.8997263390758098
3.0,1.1934410663765007,12.068882035357209,18.559921911971422,31.822245013705132,87.61808586818896,34.24514040299744,53.37294546519151,62.3,66.37012000585533,3.7628635587344044,0.8961126722030016,0.9798468572425767,0.8961126722030016
4.0,1.1780487437375624,12.031559662885794,18.559824851201807,31.769433257825163,86.86791384597392,34.13926713800299,52.728646707970924,62.3,66.01575568938401,3.750935525352375,0.893272053163471,0.9798013578836647,0.893272053163471
5.0,1.1665362470825362,11.99278853740148,18.55968637727543,31.719011161759447,86.27330910826974,34.054801639934205,52.21850746833554,62.3,65.73517910758456,3.7414192559909654,0.8910057872110259,0.9797579173085927,0.8910057872110259
6.0,1.1578657926619298,11.953296178116737,18.559504910052095,31.670666880830762,85.79370919511652,33.986264536630216,51.807444658486304,62.3,65.50909456216748,3.7336977761134387,0.8891669440378922,0.9797162668511773,0.8891669440378922
7.0,1.151280014260105,11.913604794799962,18.559279679179554,31.62416448823962,85.39948502604445,33.92961315085061,51.46987187519384,62.3,65.32342953135662,3.72731572778329,0.8876470817590745,0.9796762032514065,0.8876470817590745
8.0,1.1462256797077646,11.874086745803954,18.55901049530253,31.57932292081425,85.0689654189967,33.88186805312338,51.18709736587332,62.3,65.16790355123034,3.7219374294677317,0.8863662590026201,0.9796375705163938,0.8863662590026201
9.0,1.1422983628855463,11.835005059914238,18.558697583079912,31.536001005879697,84.78627991155417,33.840834548952785,50.94544536260139,62.3,65.03499494943077,3.7173155655442467,0.885265578426143,0.9796002470204502,0.885265578426143
10.0,1.1392022249699105,11.796543054236372,18.558341459363522,31.494086738569806,84.53979117516499,33.80489601988491,50.734895155280086,62.3,64.91919233540405,3.71326793636805,0.88430164982747,0.9795641362670755,0.88430164982747
